0, 0 71 100 95;
1, 12 74 100 95;
2, 18 73 100 95;
3, 21 71 100 95;
4, 24 73 100 95;
5, 30 78 100 95;
6, 36 66 100 95;
7, 0 71 100 95;
8, 12 74 100 95;
9, 18 73 100 95;
10, 21 71 100 95;
11, 24 70 100 95;
12, 42 66 100 95;
13, 0 71 100 95;
14, 12 74 100 95;
15, 18 73 100 95;
16, 21 71 100 95;
17, 24 73 100 95;
18, 30 78 100 95;
19, 36 66 100 95;
20, 42 66 100 95;
21, 0 67 100 95;
22, 3 69 100 95;
23, 6 71 100 95;
24, 12 74 100 95;
25, 18 71 100 95;
26, 24 73 100 95;
27, 42 66 100 95;
28, 0 71 100 95;
29, 12 74 100 95;
30, 18 73 100 95;
31, 21 71 100 95;
32, 24 73 100 95;
33, 30 78 100 95;
34, 36 66 100 95;
35, 0 71 100 95;
36, 12 74 100 95;
37, 18 73 100 95;
38, 21 71 100 95;
39, 24 70 100 95;
40, 42 66 100 95;
41, 0 71 100 95;
42, 12 74 100 95;
43, 18 73 100 95;
44, 21 71 100 95;
45, 24 73 100 95;
46, 30 78 100 95;
47, 36 66 100 95;
48, 42 66 100 95;
49, 0 67 100 95;
50, 3 69 100 95;
51, 6 71 100 95;
52, 9 73 100 95;
53, 12 74 100 95;
54, 18 73 100 95;
55, 24 71 100 95;
56, 0 78 100 95;
57, 6 78 100 95;
58, 12 78 100 95;
59, 18 78 100 95;
60, 24 79 100 95;
61, 27 78 100 95;
62, 30 78 100 95;
63, 33 76 100 95;
64, 36 76 100 95;
65, 0 76 100 95;
66, 6 76 100 95;
67, 12 76 100 95;
68, 18 76 100 95;
69, 24 78 100 95;
70, 27 76 100 95;
71, 30 76 100 95;
72, 33 74 100 95;
73, 36 74 100 95;
74, 0 74 100 95;
75, 6 74 100 95;
76, 12 74 100 95;
77, 18 73 100 95;
78, 21 74 100 95;
79, 24 76 100 95;
80, 30 71 100 95;
81, 36 76 100 95;
82, 0 74 100 95;
83, 6 73 100 95;
84, 9 71 100 95;
85, 12 69 100 95;
86, 36 66 100 95;
87, 0 73 100 95;
88, 0 71 100 95;
89, 12 74 100 95;
90, 18 73 100 95;
91, 21 71 100 95;
92, 24 73 100 95;
93, 30 78 100 95;
94, 36 66 100 95;
95, 0 71 100 95;
96, 12 74 100 95;
97, 18 73 100 95;
98, 21 71 100 95;
99, 24 70 100 95;
100, 42 66 100 95;
101, 0 71 100 95;
102, 12 74 100 95;
103, 18 73 100 95;
104, 21 71 100 95;
105, 24 73 100 95;
106, 30 78 100 95;
107, 36 66 100 95;
108, 42 66 100 95;
109, 0 67 100 95;
110, 3 69 100 95;
111, 6 71 100 95;
112, 9 73 100 95;
113, 12 74 100 95;
114, 18 73 100 95;
115, 24 71 100 95;
