0, 0 72 100 95;
1, 6 67 100 95;
2, 12 70 100 95;
3, 18 65 100 95;
4, 24 67 100 95;
5, 30 62 100 95;
6, 36 63 100 95;
7, 42 65 100 95;
8, 0 72 100 95;
9, 6 67 100 95;
10, 12 70 100 95;
11, 18 65 100 95;
12, 24 74 100 95;
13, 30 67 100 95;
14, 36 72 100 95;
15, 42 74 100 95;
16, 0 72 100 95;
17, 6 67 100 95;
18, 12 70 100 95;
19, 18 65 100 95;
20, 24 67 100 95;
21, 30 62 100 95;
22, 36 63 100 95;
23, 42 65 100 95;
24, 0 72 100 95;
25, 6 67 100 95;
26, 12 70 100 95;
27, 18 65 100 95;
28, 24 74 100 95;
29, 30 67 100 95;
30, 36 72 100 95;
31, 42 74 100 95;
32, 6 60 100 95;
33, 12 67 100 95;
34, 18 72 100 95;
35, 0 70 100 95;
36, 18 62 100 95;
37, 6 72 100 95;
38, 12 70 100 95;
39, 18 67 100 95;
40, 24 65 100 95;
41, 33 63 100 95;
42, 42 65 100 95;
43, 6 72 100 95;
44, 12 70 100 95;
45, 18 67 100 95;
46, 24 65 100 95;
47, 33 63 100 95;
48, 42 65 100 95;
49, 6 72 100 95;
50, 12 70 100 95;
51, 18 67 100 95;
52, 24 65 100 95;
53, 33 63 100 95;
54, 42 65 100 95;
55, 6 72 100 95;
56, 12 70 100 95;
57, 18 67 100 95;
58, 24 65 100 95;
59, 33 63 100 95;
60, 42 65 100 95;
61, 0 70 100 95;
62, 6 72 100 95;
63, 0 75 100 95;
64, 6 77 100 95;
65, 42 75 100 95;
66, 45 77 100 95;
67, 0 79 100 95;
68, 24 77 100 95;
69, 36 79 100 95;
70, 0 84 100 95;
