0, 36 64 100 95;
1, 42 66 100 95;
2, 0 67 100 95;
3, 18 66 100 95;
4, 24 67 100 95;
5, 36 71 100 95;
6, 0 66 100 95;
7, 36 59 100 95;
8, 0 64 100 95;
9, 18 62 100 95;
10, 24 64 100 95;
11, 36 67 100 95;
12, 0 62 100 95;
13, 36 59 100 95;
14, 42 59 100 95;
15, 0 60 100 95;
16, 18 59 100 95;
17, 24 60 100 95;
18, 30 67 100 95;
19, 0 59 100 95;
20, 30 67 100 95;
21, 36 67 100 95;
22, 42 67 100 95;
23, 0 66 100 95;
24, 18 61 100 95;
25, 24 61 100 95;
26, 36 66 100 95;
27, 0 66 100 95;
28, 36 64 100 95;
29, 42 66 100 95;
30, 0 67 100 95;
31, 18 66 100 95;
32, 24 67 100 95;
33, 36 71 100 95;
34, 0 66 100 95;
35, 36 59 100 95;
36, 42 59 100 95;
37, 0 64 100 95;
38, 18 62 100 95;
39, 24 64 100 95;
40, 36 67 100 95;
41, 0 62 100 95;
42, 42 59 100 95;
43, 0 60 100 95;
44, 12 67 100 95;
45, 18 66 100 95;
46, 36 67 100 95;
47, 0 69 100 95;
48, 6 69 100 95;
49, 18 71 100 95;
50, 24 67 100 95;
51, 0 67 100 95;
52, 6 66 100 95;
53, 12 64 100 95;
54, 18 64 100 95;
55, 24 66 100 95;
56, 36 62 100 95;
57, 0 64 100 95;
58, 36 67 100 95;
59, 42 69 100 95;
60, 0 71 100 95;
61, 18 69 100 95;
62, 24 71 100 95;
63, 36 74 100 95;
64, 0 69 100 95;
65, 36 62 100 95;
66, 42 62 100 95;
67, 0 67 100 95;
68, 18 66 100 95;
69, 24 67 100 95;
70, 36 71 100 95;
71, 0 71 100 95;
72, 0 64 100 95;
73, 6 66 100 95;
74, 12 67 100 95;
75, 24 66 100 95;
76, 30 67 100 95;
77, 36 69 100 95;
78, 42 69 100 95;
79, 0 67 100 95;
80, 18 62 100 95;
81, 24 62 100 95;
82, 0 72 100 95;
83, 12 71 100 95;
84, 24 69 100 95;
85, 36 67 100 95;
86, 0 71 100 95;
87, 36 71 100 95;
88, 0 76 100 95;
89, 24 74 100 95;
90, 42 74 100 95;
91, 0 71 100 95;
92, 6 69 100 95;
93, 12 67 100 95;
94, 42 67 100 95;
95, 0 69 100 95;
96, 12 67 100 95;
97, 18 69 100 95;
98, 30 74 100 95;
99, 42 71 100 95;
100, 36 71 100 95;
101, 0 76 100 95;
102, 24 74 100 95;
103, 0 71 100 95;
104, 6 69 100 95;
105, 12 67 100 95;
106, 42 64 100 95;
107, 0 69 100 95;
108, 12 67 100 95;
109, 18 69 100 95;
110, 36 66 100 95;
111, 0 64 100 95;
