0, 24 72 100 95;
1, 30 74 100 95;
2, 0 75 100 95;
3, 18 74 100 95;
4, 24 75 100 95;
5, 30 77 100 95;
6, 0 74 100 95;
7, 24 70 100 95;
8, 30 72 100 95;
9, 0 74 100 95;
10, 18 72 100 95;
11, 24 74 100 95;
12, 30 75 100 95;
13, 0 72 100 95;
14, 24 68 100 95;
15, 30 70 100 95;
16, 0 72 100 95;
17, 18 70 100 95;
18, 24 68 100 95;
19, 30 67 100 95;
20, 0 65 100 95;
21, 18 62 100 95;
22, 24 63 100 95;
23, 30 65 100 95;
24, 0 67 100 95;
25, 24 72 100 95;
26, 30 74 100 95;
27, 0 75 100 95;
28, 18 74 100 95;
29, 24 75 100 95;
30, 30 77 100 95;
31, 0 74 100 95;
32, 24 70 100 95;
33, 30 72 100 95;
34, 0 74 100 95;
35, 18 72 100 95;
36, 24 74 100 95;
37, 30 75 100 95;
38, 0 72 100 95;
39, 24 68 100 95;
40, 30 70 100 95;
41, 0 72 100 95;
42, 18 79 100 95;
43, 24 77 100 95;
44, 30 75 100 95;
45, 0 74 100 95;
46, 24 70 100 95;
47, 0 72 100 95;
48, 0 67 100 95;
49, 18 68 100 95;
50, 0 65 100 95;
51, 18 63 100 95;
52, 0 67 100 95;
53, 0 67 100 95;
54, 18 68 100 95;
55, 0 65 100 95;
56, 18 67 100 95;
57, 30 68 100 95;
58, 0 70 100 95;
59, 18 65 100 95;
60, 24 67 100 95;
61, 30 70 100 95;
62, 0 72 100 95;
63, 18 70 100 95;
64, 30 68 100 95;
65, 0 67 100 95;
66, 24 65 100 95;
67, 0 70 100 95;
68, 18 68 100 95;
69, 30 67 100 95;
70, 0 65 100 95;
71, 24 63 100 95;
72, 0 67 100 95;
73, 24 68 100 95;
74, 0 67 100 95;
75, 18 65 100 95;
76, 24 60 100 95;
77, 30 65 100 95;
78, 0 62 100 95;
79, 18 62 100 95;
80, 24 63 100 95;
81, 30 65 100 95;
82, 0 67 100 95;
