0, 0 62 100 95;
1, 12 67 100 95;
2, 24 70 100 95;
3, 0 74 100 95;
4, 24 74 100 95;
5, 0 72 100 95;
6, 12 70 100 95;
7, 24 69 100 95;
8, 0 70 100 95;
9, 0 67 100 95;
10, 12 70 100 95;
11, 24 74 100 95;
12, 0 79 100 95;
13, 24 79 100 95;
14, 0 79 100 95;
15, 12 77 100 95;
16, 24 75 100 95;
17, 0 77 100 95;
18, 18 69 100 95;
19, 24 74 100 95;
20, 30 77 100 95;
21, 0 81 100 95;
22, 24 79 100 95;
23, 0 77 100 95;
24, 12 76 100 95;
25, 24 77 100 95;
26, 0 79 100 95;
27, 24 77 100 95;
28, 0 76 100 95;
29, 24 74 100 95;
30, 0 72 100 95;
31, 12 70 100 95;
32, 24 72 100 95;
33, 0 74 100 95;
34, 12 72 100 95;
35, 24 67 100 95;
36, 0 69 100 95;
37, 0 62 100 95;
38, 12 67 100 95;
39, 24 70 100 95;
40, 0 74 100 95;
41, 24 74 100 95;
42, 0 72 100 95;
43, 12 70 100 95;
44, 24 69 100 95;
45, 0 70 100 95;
46, 18 67 100 95;
47, 24 70 100 95;
48, 30 74 100 95;
49, 0 79 100 95;
50, 24 79 100 95;
51, 0 79 100 95;
52, 12 81 100 95;
53, 24 77 100 95;
54, 30 75 100 95;
55, 0 77 100 95;
56, 0 69 100 95;
57, 12 74 100 95;
58, 24 77 100 95;
59, 0 81 100 95;
60, 24 79 100 95;
61, 12 77 100 95;
62, 18 76 100 95;
63, 24 75 100 95;
64, 30 76 100 95;
65, 0 79 100 95;
66, 24 77 100 95;
67, 12 76 100 95;
68, 18 74 100 95;
69, 24 73 100 95;
70, 30 74 100 95;
71, 0 74 100 95;
72, 24 72 100 95;
73, 30 70 100 95;
74, 0 69 100 95;
75, 18 71 100 95;
76, 24 73 100 95;
77, 0 74 100 95;
78, 24 74 100 95;
79, 0 75 100 95;
80, 24 74 100 95;
81, 0 72 100 95;
82, 12 70 100 95;
83, 24 69 100 95;
84, 0 70 100 95;
85, 12 72 100 95;
86, 24 74 100 95;
87, 0 65 100 95;
88, 24 65 100 95;
89, 0 75 100 95;
90, 24 74 100 95;
91, 0 72 100 95;
92, 18 70 100 95;
93, 24 72 100 95;
94, 0 74 100 95;
95, 24 86 100 95;
96, 0 86 100 95;
97, 4 88 100 95;
98, 8 86 100 95;
99, 12 85 100 95;
100, 24 86 100 95;
101, 0 89 100 95;
102, 12 88 100 95;
103, 24 86 100 95;
104, 0 85 100 95;
105, 24 88 100 95;
106, 0 81 100 95;
107, 24 81 100 95;
108, 0 89 100 95;
109, 24 89 100 95;
110, 0 89 100 95;
111, 12 88 100 95;
112, 24 86 100 95;
113, 0 88 100 95;
114, 0 78 100 95;
115, 24 78 100 95;
116, 0 78 100 95;
117, 12 79 100 95;
118, 24 81 100 95;
119, 0 82 100 95;
120, 0 76 100 95;
121, 24 76 100 95;
122, 0 76 100 95;
123, 12 77 100 95;
124, 24 79 100 95;
125, 0 81 100 95;
126, 0 64 100 95;
127, 12 63 100 95;
128, 24 64 100 95;
129, 0 67 100 95;
130, 12 65 100 95;
131, 24 64 100 95;
132, 0 62 100 95;
133, 12 61 100 95;
134, 24 62 100 95;
135, 0 64 100 95;
136, 24 69 100 95;
137, 0 72 100 95;
138, 24 70 100 95;
139, 0 69 100 95;
140, 24 67 100 95;
141, 0 66 100 95;
