0, 36 72 100 95;
1, 0 77 100 95;
2, 12 77 100 95;
3, 24 77 100 95;
4, 36 76 100 95;
5, 42 77 100 95;
6, 0 79 100 95;
7, 36 72 100 95;
8, 0 79 100 95;
9, 12 79 100 95;
10, 24 79 100 95;
11, 36 77 100 95;
12, 42 79 100 95;
13, 0 81 100 95;
14, 36 72 100 95;
15, 0 81 100 95;
16, 12 81 100 95;
17, 24 81 100 95;
18, 36 79 100 95;
19, 42 81 100 95;
20, 0 82 100 95;
21, 12 82 100 95;
22, 24 82 100 95;
23, 30 81 100 95;
24, 36 79 100 95;
25, 42 77 100 95;
26, 0 76 100 95;
27, 12 76 100 95;
28, 24 76 100 95;
29, 36 74 100 95;
30, 42 76 100 95;
31, 0 77 100 95;
32, 36 77 100 95;
33, 0 86 100 95;
34, 12 86 100 95;
35, 24 86 100 95;
36, 36 84 100 95;
37, 42 82 100 95;
38, 0 84 100 95;
39, 36 84 100 95;
40, 0 82 100 95;
41, 12 82 100 95;
42, 24 82 100 95;
43, 36 81 100 95;
44, 42 79 100 95;
45, 0 81 100 95;
46, 0 81 100 95;
47, 12 81 100 95;
48, 24 81 100 95;
49, 36 83 100 95;
50, 42 85 100 95;
51, 0 86 100 95;
52, 24 81 100 95;
53, 36 86 100 95;
54, 0 86 100 95;
55, 24 84 100 95;
56, 36 83 100 95;
57, 0 84 100 95;
